transaction_id,account_id,customer_entity,date,counterparty,counterparty_type,amount_cny,direction,purpose_summary,channel,product_related_flag,evidence_ref
TXN-2026-0017,ACCT-HDEG-001,华东精工自动化设备有限公司,2026-04-17,华东精工智能制造有限公司,集团内往来,3450000,OUT,货款/材料款,网银企业端,N,
TXN-2026-0018,ACCT-HDEG-001,华东精工装备集团有限公司,2026-04-18,宁波精密传动有限公司,设备供应商,2560000,OUT,货款/材料款,网银企业端,Y,
TXN-2026-0019,ACCT-HDEG-001,华东精工装备集团有限公司,2026-04-19,税务机关,税费,1320000,OUT,货款/材料款,网银企业端,N,
TXN-2026-0020,ACCT-HDEG-001,华东精工装备集团有限公司,2026-04-20,杭州智联数控设备有限公司,设备供应商,1370000,OUT,货款/材料款,网银企业端,Y,
TXN-2026-0021,ACCT-HDEG-001,华东精工自动化设备有限公司,2026-04-21,宁波华源自动化有限公司,下游客户,1570000,IN,销售回款,网银企业端,N,
TXN-2026-0022,ACCT-HDEG-001,华东精工自动化设备有限公司,2026-04-22,华东精工智能制造有限公司,集团内往来,1810000,OUT,货款/材料款,网银企业端,N,
TXN-2026-0023,ACCT-HDEG-001,华东精工自动化设备有限公司,2026-04-23,内部工资代发,工资,2760000,OUT,货款/材料款,网银企业端,Y,
TXN-2026-0024,ACCT-HDEG-001,华东精工装备集团有限公司,2026-04-24,税务机关,税费,1540000,OUT,货款/材料款,网银企业端,N,
TXN-2026-0025,ACCT-HDEG-001,华东精工装备集团有限公司,2026-04-25,华东精工智能制造有限公司,集团内往来,2240000,OUT,货款/材料款,网银企业端,N,
TXN-2026-0026,ACCT-HDEG-001,华东精工装备集团有限公司,2026-04-26,宁波精密传动有限公司,设备供应商,2800000,OUT,货款/材料款,网银企业端,Y,
TXN-2026-0027,ACCT-HDEG-001,华东精工装备集团有限公司,2026-04-27,苏州德昇伺服科技有限公司,设备供应商,980000,OUT,货款/材料款,网银企业端,Y,
TXN-2026-0028,ACCT-HDEG-001,华东精工自动化设备有限公司,2026-04-28,宁波华源自动化有限公司,下游客户,3250000,IN,销售回款,网银企业端,N,
TXN-2026-0029,ACCT-HDEG-001,华东精工装备集团有限公司,2026-04-29,内部工资代发,工资,2760000,OUT,货款/材料款,网银企业端,Y,
TXN-2026-0030,ACCT-HDEG-001,华东精工装备集团有限公司,2026-04-30,杭州智联数控设备有限公司,设备供应商,3680000,OUT,货款/材料款,网银企业端,Y,
TXN-2026-0031,ACCT-HDEG-001,华东精工装备集团有限公司,2026-05-01,税务机关,税费,1560000,OUT,货款/材料款,网银企业端,N,
TXN-2026-0032,ACCT-HDEG-001,华东精工自动化设备有限公司,2026-05-02,上海东启电子科技有限公司,电子元件供应商,2420000,OUT,货款/材料款,柜面/批量,N,
TXN-2026-0033,ACCT-HDEG-001,华东精工装备集团有限公司,2026-05-03,上海东启电子科技有限公司,电子元件供应商,2760000,OUT,货款/材料款,网银企业端,N,
TXN-2026-0034,ACCT-HDEG-001,华东精工装备集团有限公司,2026-05-04,苏州德昇伺服科技有限公司,设备供应商,3400000,OUT,货款/材料款,网银企业端,Y,
TXN-2026-0035,ACCT-HDEG-001,华东精工自动化设备有限公司,2026-05-05,华东精工智能制造有限公司,集团内往来,1210000,OUT,货款/材料款,网银企业端,N,
TXN-2026-0036,ACCT-HDEG-001,华东精工装备集团有限公司,2026-05-06,税务机关,税费,2910000,OUT,货款/材料款,网银企业端,N,
TXN-2026-0037,ACCT-HDEG-001,华东精工装备集团有限公司,2026-05-07,内部工资代发,工资,2670000,OUT,货款/材料款,网银企业端,Y,
TXN-2026-0038,ACCT-HDEG-001,华东精工自动化设备有限公司,2026-05-08,上海东启电子科技有限公司,电子元件供应商,1420000,OUT,货款/材料款,网银企业端,N,
TXN-2026-0039,ACCT-HDEG-001,华东精工装备集团有限公司,2026-05-09,苏州德昇伺服科技有限公司,设备供应商,630000,OUT,货款/材料款,网银企业端,Y,
TXN-2026-0040,ACCT-HDEG-001,华东精工自动化设备有限公司,2026-05-10,税务机关,税费,840000,OUT,货款/材料款,网银企业端,N,
TXN-2026-0041,ACCT-HDEG-001,华东精工装备集团有限公司,2026-05-11,税务机关,税费,1040000,OUT,货款/材料款,网银企业端,N,
TXN-2026-0042,ACCT-HDEG-001,华东精工装备集团有限公司,2026-05-12,宁波华源自动化有限公司,下游客户,1280000,IN,销售回款,网银企业端,N,
TXN-2026-0043,ACCT-HDEG-001,华东精工装备集团有限公司,2026-05-13,浙江恒远钢材贸易有限公司,原材料供应商,1790000,OUT,货款/材料款,网银企业端,N,
TXN-2026-0044,ACCT-HDEG-001,华东精工装备集团有限公司,2026-05-14,杭州某新能源装备有限公司,下游客户,2440000,IN,销售回款,网银企业端,N,
TXN-2026-0045,ACCT-HDEG-001,华东精工自动化设备有限公司,2026-05-15,浙江恒远钢材贸易有限公司,原材料供应商,1350000,OUT,货款/材料款,柜面/批量,N,
TXN-2026-0046,ACCT-HDEG-001,华东精工装备集团有限公司,2026-05-16,税务机关,税费,1370000,OUT,货款/材料款,柜面/批量,N,
TXN-2026-0047,ACCT-HDEG-001,华东精工自动化设备有限公司,2026-05-17,杭州智联数控设备有限公司,设备供应商,1370000,OUT,货款/材料款,柜面/批量,Y,
TXN-2026-0048,ACCT-HDEG-001,华东精工装备集团有限公司,2026-05-18,杭州某新能源装备有限公司,下游客户,560000,IN,销售回款,网银企业端,N,
TXN-2026-0049,ACCT-HDEG-001,华东精工自动化设备有限公司,2026-05-19,内部工资代发,工资,2940000,OUT,货款/材料款,网银企业端,Y,
TXN-2026-0050,ACCT-HDEG-001,华东精工装备集团有限公司,2026-05-20,华东精工智能制造有限公司,集团内往来,3150000,OUT,货款/材料款,网银企业端,N,
TXN-2026-0051,ACCT-HDEG-001,华东精工自动化设备有限公司,2026-05-21,宁波华源自动化有限公司,下游客户,1170000,IN,销售回款,网银企业端,N,
TXN-2026-0052,ACCT-HDEG-001,华东精工装备集团有限公司,2026-05-22,杭州某新能源装备有限公司,下游客户,2360000,IN,销售回款,网银企业端,N,
TXN-2026-0053,ACCT-HDEG-001,华东精工装备集团有限公司,2026-05-23,杭州智联数控设备有限公司,设备供应商,3640000,OUT,货款/材料款,网银企业端,Y,
TXN-2026-0054,ACCT-HDEG-001,华东精工装备集团有限公司,2026-05-24,杭州智联数控设备有限公司,设备供应商,2260000,OUT,货款/材料款,网银企业端,Y,
TXN-2026-0055,ACCT-HDEG-001,华东精工自动化设备有限公司,2026-05-25,苏州德昇伺服科技有限公司,设备供应商,1470000,OUT,货款/材料款,网银企业端,Y,
TXN-2026-0056,ACCT-HDEG-001,华东精工自动化设备有限公司,2026-05-26,宁波精密传动有限公司,设备供应商,2360000,OUT,货款/材料款,网银企业端,Y,
TXN-2026-0057,ACCT-HDEG-001,华东精工装备集团有限公司,2026-05-27,苏州德昇伺服科技有限公司,设备供应商,2460000,OUT,货款/材料款,网银企业端,Y,
TXN-2026-0058,ACCT-HDEG-001,华东精工装备集团有限公司,2026-05-28,苏州德昇伺服科技有限公司,设备供应商,450000,OUT,货款/材料款,网银企业端,Y,
TXN-2026-0059,ACCT-HDEG-001,华东精工装备集团有限公司,2026-05-29,杭州智联数控设备有限公司,设备供应商,670000,OUT,货款/材料款,网银企业端,Y,
TXN-2026-0060,ACCT-HDEG-001,华东精工装备集团有限公司,2026-05-30,宁波精密传动有限公司,设备供应商,2280000,OUT,货款/材料款,柜面/批量,Y,
TXN-2026-0061,ACCT-HDEG-001,华东精工自动化设备有限公司,2026-05-31,宁波华源自动化有限公司,下游客户,500000,IN,销售回款,柜面/批量,N,
TXN-2026-0062,ACCT-HDEG-001,华东精工装备集团有限公司,2026-06-01,宁波华源自动化有限公司,下游客户,1550000,IN,销售回款,网银企业端,N,
TXN-2026-0063,ACCT-HDEG-001,华东精工装备集团有限公司,2026-06-02,上海东启电子科技有限公司,电子元件供应商,2360000,OUT,货款/材料款,网银企业端,N,
TXN-2026-0064,ACCT-HDEG-001,华东精工装备集团有限公司,2026-06-03,税务机关,税费,3580000,OUT,货款/材料款,柜面/批量,N,
TXN-2026-0065,ACCT-HDEG-001,华东精工装备集团有限公司,2026-06-04,上海东启电子科技有限公司,电子元件供应商,1310000,OUT,货款/材料款,网银企业端,N,
TXN-2026-0066,ACCT-HDEG-001,华东精工装备集团有限公司,2026-06-05,税务机关,税费,510000,OUT,货款/材料款,柜面/批量,N,
TXN-2026-0067,ACCT-HDEG-001,华东精工装备集团有限公司,2026-06-06,华东精工智能制造有限公司,集团内往来,2640000,OUT,货款/材料款,网银企业端,N,
TXN-2026-0068,ACCT-HDEG-001,华东精工自动化设备有限公司,2026-06-07,宁波精密传动有限公司,设备供应商,1109703,OUT,设备预付款,柜面/批量,Y,EV-TXN-001
TXN-2026-0069,ACCT-HDEG-001,华东精工装备集团有限公司,2026-06-08,华东精工智能制造有限公司,集团内往来,540000,OUT,货款/材料款,柜面/批量,N,
TXN-2026-0070,ACCT-HDEG-001,华东精工装备集团有限公司,2026-06-09,苏州德昇伺服科技有限公司,设备供应商,5043156,OUT,设备预付款,网银企业端,Y,EV-TXN-001
TXN-2026-0071,ACCT-HDEG-001,华东精工装备集团有限公司,2026-06-10,宁波华源自动化有限公司,下游客户,3560000,IN,销售回款,网银企业端,N,
TXN-2026-0072,ACCT-HDEG-001,华东精工装备集团有限公司,2026-06-11,上海东启电子科技有限公司,电子元件供应商,1240000,OUT,货款/材料款,网银企业端,N,
TXN-2026-0073,ACCT-HDEG-001,华东精工自动化设备有限公司,2026-06-12,上海东启电子科技有限公司,电子元件供应商,2220000,OUT,货款/材料款,网银企业端,N,
TXN-2026-0074,ACCT-HDEG-001,华东精工装备集团有限公司,2026-06-13,内部工资代发,工资,3190000,OUT,货款/材料款,柜面/批量,Y,
TXN-2026-0075,ACCT-HDEG-001,华东精工装备集团有限公司,2026-06-14,内部工资代发,工资,2960000,OUT,货款/材料款,柜面/批量,Y,
TXN-2026-0076,ACCT-HDEG-001,华东精工装备集团有限公司,2026-06-15,浙江恒远钢材贸易有限公司,原材料供应商,2790000,OUT,货款/材料款,网银企业端,N,
TXN-2026-0077,ACCT-HDEG-001,华东精工自动化设备有限公司,2026-06-16,苏州德昇伺服科技有限公司,设备供应商,2512232,OUT,设备预付款,网银企业端,Y,EV-TXN-001
TXN-2026-0078,ACCT-HDEG-001,华东精工装备集团有限公司,2026-06-17,上海东启电子科技有限公司,电子元件供应商,3330000,OUT,货款/材料款,网银企业端,N,
TXN-2026-0079,ACCT-HDEG-001,华东精工装备集团有限公司,2026-06-18,税务机关,税费,240000,OUT,货款/材料款,网银企业端,N,
TXN-2026-0080,ACCT-HDEG-001,华东精工装备集团有限公司,2026-06-19,苏州德昇伺服科技有限公司,设备供应商,1441457,OUT,设备预付款,网银企业端,Y,EV-TXN-001
TXN-2026-0081,ACCT-HDEG-001,华东精工自动化设备有限公司,2026-06-20,宁波精密传动有限公司,设备供应商,2629193,OUT,设备预付款,网银企业端,Y,EV-TXN-001
TXN-2026-0082,ACCT-HDEG-001,华东精工装备集团有限公司,2026-06-21,上海东启电子科技有限公司,电子元件供应商,2780000,OUT,货款/材料款,网银企业端,N,
TXN-2026-0083,ACCT-HDEG-001,华东精工装备集团有限公司,2026-06-22,杭州智联数控设备有限公司,设备供应商,1320473,OUT,设备预付款,柜面/批量,Y,EV-TXN-001
TXN-2026-0084,ACCT-HDEG-001,华东精工装备集团有限公司,2026-06-23,杭州某新能源装备有限公司,下游客户,860000,IN,销售回款,网银企业端,N,
TXN-2026-0085,ACCT-HDEG-001,华东精工装备集团有限公司,2026-06-24,内部工资代发,工资,3050000,OUT,货款/材料款,柜面/批量,Y,
TXN-2026-0086,ACCT-HDEG-001,华东精工装备集团有限公司,2026-06-25,苏州德昇伺服科技有限公司,设备供应商,8256488,OUT,设备预付款,网银企业端,Y,EV-TXN-001
TXN-2026-0087,ACCT-HDEG-001,华东精工自动化设备有限公司,2026-06-26,华东精工智能制造有限公司,集团内往来,3020000,OUT,货款/材料款,柜面/批量,N,
TXN-2026-0088,ACCT-HDEG-001,华东精工装备集团有限公司,2026-06-27,上海东启电子科技有限公司,电子元件供应商,2060000,OUT,货款/材料款,网银企业端,N,
TXN-2026-0089,ACCT-HDEG-001,华东精工自动化设备有限公司,2026-06-28,杭州智联数控设备有限公司,设备供应商,3225809,OUT,设备预付款,柜面/批量,Y,EV-TXN-001
TXN-2026-0090,ACCT-HDEG-001,华东精工装备集团有限公司,2026-06-29,税务机关,税费,2280000,OUT,货款/材料款,网银企业端,N,
TXN-2026-0091,ACCT-HDEG-001,华东精工装备集团有限公司,2026-06-30,浙江恒远钢材贸易有限公司,原材料供应商,1030000,OUT,货款/材料款,网银企业端,N,
TXN-2026-0092,ACCT-HDEG-001,华东精工自动化设备有限公司,2026-07-01,宁波华源自动化有限公司,下游客户,320000,IN,销售回款,网银企业端,N,
TXN-2026-0093,ACCT-HDEG-001,华东精工装备集团有限公司,2026-07-02,宁波华源自动化有限公司,下游客户,3620000,IN,销售回款,网银企业端,N,
TXN-2026-0094,ACCT-HDEG-001,华东精工装备集团有限公司,2026-07-03,上海东启电子科技有限公司,电子元件供应商,1010000,OUT,货款/材料款,柜面/批量,N,
TXN-2026-0095,ACCT-HDEG-001,华东精工装备集团有限公司,2026-07-04,杭州智联数控设备有限公司,设备供应商,4160494,OUT,设备预付款,网银企业端,Y,EV-TXN-001
TXN-2026-0096,ACCT-HDEG-001,华东精工自动化设备有限公司,2026-07-05,上海东启电子科技有限公司,电子元件供应商,1360000,OUT,货款/材料款,网银企业端,N,
TXN-2026-0097,ACCT-HDEG-001,华东精工装备集团有限公司,2026-07-06,宁波华源自动化有限公司,下游客户,1880000,IN,销售回款,柜面/批量,N,
TXN-2026-0098,ACCT-HDEG-001,华东精工装备集团有限公司,2026-07-07,上海东启电子科技有限公司,电子元件供应商,1990000,OUT,货款/材料款,网银企业端,N,
TXN-2026-0099,ACCT-HDEG-001,华东精工装备集团有限公司,2026-07-08,税务机关,税费,1890000,OUT,货款/材料款,柜面/批量,N,
TXN-2026-0100,ACCT-HDEG-001,华东精工装备集团有限公司,2026-07-09,上海东启电子科技有限公司,电子元件供应商,1110000,OUT,货款/材料款,网银企业端,N,
TXN-2026-0101,ACCT-HDEG-001,华东精工装备集团有限公司,2026-07-10,杭州智联数控设备有限公司,设备供应商,1452685,OUT,设备预付款,网银企业端,Y,EV-TXN-001
TXN-2026-0102,ACCT-HDEG-001,华东精工装备集团有限公司,2026-07-11,宁波华源自动化有限公司,下游客户,3300000,IN,销售回款,柜面/批量,N,
TXN-2026-0103,ACCT-HDEG-001,华东精工装备集团有限公司,2026-07-12,华东精工智能制造有限公司,集团内往来,1170000,OUT,货款/材料款,网银企业端,N,
TXN-2026-0104,ACCT-HDEG-001,华东精工装备集团有限公司,2026-07-13,杭州智联数控设备有限公司,设备供应商,6386430,OUT,设备预付款,网银企业端,Y,EV-TXN-001
TXN-2026-0105,ACCT-HDEG-001,华东精工装备集团有限公司,2026-07-14,浙江恒远钢材贸易有限公司,原材料供应商,2060000,OUT,货款/材料款,网银企业端,N,
TXN-2026-0106,ACCT-HDEG-001,华东精工装备集团有限公司,2026-07-15,杭州某新能源装备有限公司,下游客户,3390000,IN,销售回款,网银企业端,N,
TXN-2026-0107,ACCT-HDEG-001,华东精工装备集团有限公司,2026-07-16,上海东启电子科技有限公司,电子元件供应商,2790000,OUT,货款/材料款,网银企业端,N,
TXN-2026-0108,ACCT-HDEG-001,华东精工装备集团有限公司,2026-07-17,宁波华源自动化有限公司,下游客户,3760000,IN,销售回款,柜面/批量,N,
TXN-2026-0109,ACCT-HDEG-001,华东精工装备集团有限公司,2026-07-18,宁波华源自动化有限公司,下游客户,3600000,IN,销售回款,网银企业端,N,
TXN-2026-0110,ACCT-HDEG-001,华东精工装备集团有限公司,2026-07-19,宁波精密传动有限公司,设备供应商,6405852,OUT,设备预付款,网银企业端,Y,EV-TXN-001
TXN-2026-0111,ACCT-HDEG-001,华东精工自动化设备有限公司,2026-07-20,上海东启电子科技有限公司,电子元件供应商,1660000,OUT,货款/材料款,网银企业端,N,
TXN-2026-0112,ACCT-HDEG-001,华东精工装备集团有限公司,2026-07-21,华东精工智能制造有限公司,集团内往来,3550000,OUT,货款/材料款,网银企业端,N,
TXN-2026-0113,ACCT-HDEG-001,华东精工装备集团有限公司,2026-07-22,浙江恒远钢材贸易有限公司,原材料供应商,2810000,OUT,货款/材料款,网银企业端,N,
TXN-2026-0114,ACCT-HDEG-001,华东精工装备集团有限公司,2026-07-23,宁波精密传动有限公司,设备供应商,5270448,OUT,设备预付款,网银企业端,Y,EV-TXN-001
TXN-2026-0115,ACCT-HDEG-001,华东精工装备集团有限公司,2026-07-24,杭州某新能源装备有限公司,下游客户,670000,IN,销售回款,网银企业端,N,
TXN-2026-0116,ACCT-HDEG-001,华东精工装备集团有限公司,2026-07-25,上海东启电子科技有限公司,电子元件供应商,1350000,OUT,货款/材料款,柜面/批量,N,
TXN-2026-0117,ACCT-HDEG-001,华东精工装备集团有限公司,2026-07-26,杭州智联数控设备有限公司,设备供应商,3314036,OUT,设备预付款,网银企业端,Y,EV-TXN-001
TXN-2026-0118,ACCT-HDEG-001,华东精工装备集团有限公司,2026-07-27,内部工资代发,工资,3160000,OUT,货款/材料款,柜面/批量,Y,
TXN-2026-0119,ACCT-HDEG-001,华东精工装备集团有限公司,2026-07-28,宁波华源自动化有限公司,下游客户,2730000,IN,销售回款,柜面/批量,N,
TXN-2026-0120,ACCT-HDEG-001,华东精工自动化设备有限公司,2026-07-29,杭州智联数控设备有限公司,设备供应商,1554427,OUT,设备预付款,网银企业端,Y,EV-TXN-001
