period,statement_item,amount_cny,source,evidence_status
2024FY,财务费用,47000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2025FY,财务费用,51000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2026H1,财务费用,30000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2023FY,净利润,126000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2024FY,净利润,155000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2025FY,净利润,183000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2026H1,净利润,106000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2023FY,经营活动现金流净额,165000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2024FY,经营活动现金流净额,188000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2025FY,经营活动现金流净额,207000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2026H1,经营活动现金流净额,72000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2023FY,投资活动现金流净额,-92000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2024FY,投资活动现金流净额,-118000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2025FY,投资活动现金流净额,-155000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2026H1,投资活动现金流净额,-126000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2023FY,货币资金,410000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2024FY,货币资金,445000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2025FY,货币资金,398000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2026H1,货币资金,322000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2023FY,应收账款,620000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2024FY,应收账款,675000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2025FY,应收账款,740000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2026H1,应收账款,812000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2023FY,存货,385000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2024FY,存货,420000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2025FY,存货,466000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2026H1,存货,512000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2023FY,固定资产,760000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2024FY,固定资产,805000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2025FY,固定资产,892000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2026H1,固定资产,1010000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2023FY,总资产,3080000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2024FY,总资产,3370000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2025FY,总资产,3690000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2026H1,总资产,4010000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2023FY,短期借款,420000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2024FY,短期借款,455000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2025FY,短期借款,485000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2026H1,短期借款,565000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2023FY,长期借款,280000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2024FY,长期借款,330000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2025FY,长期借款,390000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2026H1,长期借款,425000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2023FY,应付账款,410000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2024FY,应付账款,455000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2025FY,应付账款,515000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2026H1,应付账款,582000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2023FY,总负债,1760000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2024FY,总负债,1920000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2025FY,总负债,2100000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2026H1,总负债,2340000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2023FY,所有者权益,1320000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2024FY,所有者权益,1450000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2025FY,所有者权益,1590000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
2026H1,所有者权益,1670000000,SYNTH_FINANCIALS,SYNTHETIC_DEMO
